Id,Name,Industry,AnnualRevenue,BillingCity,BillingCountry,CreatedDate
001xx000003DGbQAAW,Acme Corporation,Technology,5000000,San Francisco,USA,2023-01-15
001xx000003DGbRAAW,Global Industries,Manufacturing,12000000,Chicago,USA,2023-02-20
001xx000003DGbSAAW,Tech Innovators,Technology,3500000,Austin,USA,2023-03-10
001xx000003DGbTAAW,Retail Giants,Retail,25000000,New York,USA,2023-04-05
001xx000003DGbUAAW,Healthcare Solutions,Healthcare,8500000,Boston,USA,2023-05-18
001xx000003DGbVAAW,Energy Corp,Energy,45000000,Houston,USA,2023-06-22
001xx000003DGbWAAW,Financial Services Inc,Finance,18000000,Charlotte,USA,2023-07-14
001xx000003DGbXAAW,Telecommunications Plus,Telecommunications,32000000,Seattle,USA,2023-08-09
001xx000003DGbYAAW,Construction Co,Construction,6700000,Denver,USA,2023-09-03
001xx000003DGbZAAW,Education Systems,Education,4200000,Portland,USA,2023-10-11
001xx000003DGbaAAW,Media Group,Media,9800000,Los Angeles,USA,2023-11-25
001xx000003DGbbAAW,Transportation Services,Transportation,15500000,Atlanta,USA,2023-12-02
001xx000003DGbcAAW,Hospitality International,Hospitality,21000000,Miami,USA,2024-01-08
001xx000003DGbdAAW,Biotech Research,Biotechnology,11500000,San Diego,USA,2024-02-14
001xx000003DGbeAAW,Agricultural Solutions,Agriculture,7300000,Des Moines,USA,2024-03-20
001xx000003DGbfAAW,Software Systems,Technology,14200000,Seattle,USA,2024-04-15
001xx000003DGbgAAW,Consulting Group,Consulting,6800000,Washington,USA,2024-05-22
001xx000003DGbhAAW,Manufacturing Plus,Manufacturing,19500000,Detroit,USA,2024-06-18
001xx000003DGbiAAW,Retail Solutions,Retail,8900000,Dallas,USA,2024-07-25
001xx000003DGbjAAW,Healthcare Tech,Healthcare,13600000,Philadelphia,USA,2024-08-30
001xx000003DGbkAAW,Energy Solutions,Energy,28000000,Oklahoma City,USA,2024-09-12
001xx000003DGblAAW,Financial Tech,Finance,22500000,New York,USA,2024-10-05
001xx000003DGbmAAW,Telecom Innovations,Telecommunications,17800000,Los Angeles,USA,2024-11-14
001xx000003DGbnAAW,Construction Group,Construction,10200000,Phoenix,USA,2024-12-01
001xx000003DGboAAW,Education Plus,Education,5600000,Minneapolis,USA,2025-01-09
001xx000003DGbpAAW,Media Tech,Media,15300000,Atlanta,USA,2025-02-20
001xx000003DGbqAAW,Transport Corp,Transportation,24000000,Memphis,USA,2025-03-15
001xx000003DGbrAAW,Hotel Chain,Hospitality,34500000,Las Vegas,USA,2025-04-22
001xx000003DGbsAAW,Pharma Research,Biotechnology,19700000,Boston,USA,2025-05-18
001xx000003DGbtAAW,Agri-Business,Agriculture,12100000,Omaha,USA,2025-06-25
